,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,room_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
3241,20018,130.0,6,1.0,3.0,3.0,Real Bed,f,t,House,Entire home/apt,strict,f,3,3,41,2,Washington,2.0,9,27,54,297
3242,20017,84.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,1,1,7,2,Washington,2.0,0,0,0,0
3243,20018,45.0,2,1.5,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,2,2,1,2,Washington,2.0,8,24,39,310
3244,20017,203.0,9,2.5,4.0,6.0,Real Bed,f,t,House,Entire home/apt,strict,f,22,25,105,3,Washington,1.5,12,30,57,314
3245,20018,160.0,6,2.0,2.0,2.0,Real Bed,f,t,Townhouse,Entire home/apt,strict,f,2,2,1,3,Washington,3.0,0,0,7,254
3246,20018,120.0,2,1.0,1.0,2.0,Real Bed,f,f,House,Private room,flexible,f,3,3,0,1,Washington,1.0,0,0,0,3
3247,20011,250.0,6,3.0,6.0,6.0,Real Bed,f,f,Townhouse,Entire home/apt,flexible,f,1,1,0,6,Washington,1.0,30,60,90,365
3248,20018,80.0,2,1.5,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,4,4,0,3,Washington,2.0,30,60,90,365
3249,20018,60.0,2,1.0,1.0,2.0,Real Bed,f,f,House,Private room,strict,f,1,1,54,2,Washington,1.0,22,43,70,340
3250,20018,229.0,6,1.5,3.0,3.0,Real Bed,f,t,House,Entire home/apt,moderate,f,4,4,9,2,Washington,2.0,19,49,79,96
3251,20017,67.0,2,1.5,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,1,4,18,2,Washington,2.0,0,0,19,19
3252,20018,115.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,t,2,3,1,1,Washington,2.0,29,59,89,364
3253,20017,80.0,4,1.0,1.0,2.0,Real Bed,f,t,House,Entire home/apt,flexible,f,1,1,1,1,Washington,2.0,12,42,72,347
3254,20017,250.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
3255,20017,72.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,1,1,23,2,Washington,2.0,19,49,79,354
3256,20018,175.0,1,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,0,1,Washington,1.0,30,60,90,365
3257,20017,55.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,1,4,13,2,Washington,2.0,11,40,59,59
3258,20018,60.0,2,1.0,1.0,1.0,Futon,f,t,House,Private room,moderate,f,4,4,19,2,Washington,2.0,23,53,83,358
3259,20018,65.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,3,3,32,2,Washington,2.0,10,35,56,326
3260,20017,105.0,5,1.0,1.0,4.0,Real Bed,t,t,House,Entire home/apt,moderate,f,1,1,47,2,Washington,1.25,0,0,0,275
3261,20018,98.0,3,1.0,0.0,2.0,Real Bed,f,t,Bed & Breakfast,Entire home/apt,moderate,f,1,1,12,2,Washington,1.5,9,39,69,344
3262,20017,155.0,9,2.5,4.0,6.0,Real Bed,f,f,House,Entire home/apt,flexible,f,1,1,1,1,Washington,1.5,0,0,0,45
3263,20018,84.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,t,1,1,1,2,Washington,4.0,4,34,61,336
3264,20018,95.0,4,1.0,1.0,2.0,Real Bed,t,t,House,Entire home/apt,flexible,f,1,1,54,1,Washington,2.0,9,32,58,147
3265,20017,89.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Private room,strict,f,23,23,4,1,Washington,2.0,0,0,0,275
3266,20017,65.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,3,3,14,2,Washington,2.0,15,30,59,331
3267,20017,200.0,4,1.5,2.0,3.0,Real Bed,f,t,House,Entire home/apt,flexible,f,1,2,5,3,Washington,1.3333333333333333,9,16,28,258
3268,20017,100.0,2,1.0,0.0,1.0,Real Bed,f,f,House,Entire home/apt,moderate,f,1,1,6,2,Washington,2.0,12,32,62,125
3269,20017,225.0,6,1.0,2.0,3.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,0,1,Washington,2.0,0,0,0,154
3270,20018,45.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,0,1,Washington,2.0,0,0,0,131
3271,20018,125.0,5,1.0,1.0,2.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,1,1,2,2,Washington,2.5,30,60,90,365
3272,20017,599.0,12,3.5,4.0,7.0,Real Bed,f,f,House,Entire home/apt,flexible,f,1,1,0,1,Washington,1.7142857142857142,0,0,0,2
3273,20017,89.0,2,1.0,1.0,2.0,Real Bed,f,f,Apartment,Private room,strict,f,23,23,3,1,Washington,1.0,0,0,0,275
3274,20017,120.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Entire home/apt,strict,f,1,1,0,3,Washington,2.0,30,60,90,365
3275,20017,225.0,10,4.5,4.0,4.0,Real Bed,f,t,House,Entire home/apt,moderate,f,1,1,8,2,Washington,2.5,0,0,8,108
3276,20017,110.0,4,1.0,1.0,2.0,Real Bed,t,t,House,Entire home/apt,moderate,f,1,1,39,2,Washington,2.0,4,25,38,38
3277,20018,185.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,3,3,0,1,Washington,2.0,0,0,0,3
3278,20018,105.0,4,1.0,1.0,1.0,Real Bed,f,t,House,Entire home/apt,moderate,f,1,1,30,2,Washington,4.0,6,6,6,189
3279,20018,65.0,2,1.0,1.0,1.0,Real Bed,f,t,Townhouse,Private room,moderate,f,2,2,57,2,Washington,2.0,4,25,55,330
3280,20018,80.0,5,1.0,0.0,3.0,Real Bed,f,t,House,Entire home/apt,moderate,f,3,3,67,1,Washington,1.6666666666666667,6,6,6,6
3281,20018,75.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,1,1,22,2,Washington,2.0,6,36,66,66
