,id,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,minimum_nights,maximum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,host_since_year,host_response_rate_buckets,host_verifications_email,host_verifications_ phone,host_verifications_ reviews,host_verifications_ jumio,host_verifications_ facebook,host_verifications_ kba,host_verifications_ linkedin,host_verifications_ google,host_verifications_phone,host_verifications_ manual_offline,amenities_Air Conditioning,amenities_Heating,amenities_Wireless Internet,amenities_Kitchen,amenities_Smoke Detector,amenities_Washer,amenities_Dryer,amenities_Internet,amenities_Essentials,amenities_TV,extra_people_fee
52,7254795,within an hour,f,2,t,t,Townhouse,Entire home/apt,4,2.5,2.0,2.0,Real Bed,130.0,1,2,1125,11,1,100.0,10.0,10.0,10.0,10.0,6.0,10.0,f,strict,f,f,2,2015,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
53,8567059,within an hour,f,1,t,t,Townhouse,Private room,1,1.0,1.0,1.0,Real Bed,50.0,1,1,1125,20,0,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,f,flexible,f,f,1,2014,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
54,5912004,within a day,f,1,t,t,House,Private room,2,1.0,1.0,1.0,Real Bed,150.0,1,1,1125,30,0,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,f,flexible,f,f,1,2015,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
55,2940776,within a day,f,1,t,f,House,Private room,2,1.5,1.0,1.0,Real Bed,40.0,1,1,1125,0,9,84.0,8.0,8.0,8.0,9.0,8.0,9.0,f,flexible,f,f,1,2013,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
56,8519673,within an hour,f,5,t,t,House,Private room,2,1.0,1.0,1.0,Real Bed,45.0,1,1,1125,26,0,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,f,flexible,f,f,5,2012,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,8552222,within an hour,f,2,t,t,Townhouse,Private room,2,2.5,1.0,1.0,Real Bed,55.0,1,2,1125,10,0,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,f,strict,f,f,2,2015,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
59,4286181,within an hour,f,2,t,t,House,Private room,2,1.0,1.0,1.0,Real Bed,65.0,1,1,1125,3,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,t,t,2,2012,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
60,2523708,within an hour,t,4,t,t,House,Private room,4,1.5,1.0,1.0,Real Bed,94.0,1,1,31,26,18,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,f,f,3,2013,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,861775,within an hour,f,2,t,t,House,Private room,1,1.0,1.0,1.0,Real Bed,65.0,1,1,1125,1,2,90.0,8.0,9.0,9.0,10.0,8.0,10.0,f,flexible,t,t,2,2012,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
62,2517969,within an hour,t,4,t,t,House,Private room,5,1.5,1.0,1.0,Real Bed,64.0,1,1,90,1,115,94.0,10.0,10.0,10.0,10.0,9.0,9.0,t,flexible,f,f,3,2013,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
