,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
2099,20001,59.0,2,1.5,1.0,1.0,Real Bed,f,t,House,strict,t,3,3,9,1,Washington,2.0,5,5,5,278
2102,20002,126.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,3,3,51,1,Washington,2.0,8,34,50,292
2117,20002,75.0,2,1.5,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,0,1,Washington,2.0,0,0,0,83
2123,20002,95.0,1,1.0,1.0,1.0,Real Bed,t,t,House,moderate,f,1,1,51,1,Washington,1.0,22,52,82,357
2124,20002,59.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,t,3,4,1,1,Washington,2.0,27,54,84,359
2129,20002,64.0,1,0.0,1.0,1.0,Real Bed,f,t,Condominium,flexible,f,1,1,2,1,Washington,1.0,0,0,0,47
2131,20002,35.0,1,1.0,1.0,1.0,Real Bed,f,t,House,flexible,t,3,3,8,1,Washington,1.0,10,40,70,309
2132,20002,50.0,2,1.5,1.0,2.0,Real Bed,f,t,House,flexible,f,1,1,119,2,Washington,1.0,0,14,31,292
2134,20002,70.0,2,1.5,1.0,1.0,Real Bed,f,t,House,moderate,f,1,1,12,2,Washington,2.0,0,0,0,238
2137,20002,79.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,22,1,Washington,2.0,2,15,45,320
2139,20002,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,7,Washington,2.0,28,58,88,88
2142,20002,107.0,2,1.5,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,4,1,Washington,2.0,1,31,61,336
2145,20002,90.0,3,2.0,1.0,2.0,Real Bed,t,t,House,flexible,f,1,1,55,1,Washington,1.5,6,26,55,57
2151,20002,99.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,1,1,Washington,2.0,0,0,0,123
2156,20002,35.0,1,1.0,1.0,1.0,Real Bed,f,t,House,flexible,t,3,3,1,1,Washington,1.0,0,0,0,65
2157,20002,79.0,2,2.0,1.0,1.0,Real Bed,f,t,House,moderate,f,1,1,42,1,Washington,2.0,4,23,53,328
