,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
1162,20009,125.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,18,1,Washington,2.0,4,16,16,288
1163,20009,89.0,4,1.5,1.0,2.0,Real Bed,f,t,Apartment,strict,f,27,30,14,3,Washington,2.0,10,40,70,345
1164,20036,175.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,f,2,2,19,1,Washington,1.5,12,42,72,347
1165,20009,100.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,4,1,Washington,2.0,0,0,0,272
1166,20009,150.0,4,1.5,2.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,1,2,Washington,2.0,2,2,2,19
1167,20009,100.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,t,1,1,1,1,Washington,2.0,0,0,0,77
1168,20009,300.0,6,1.5,3.0,4.0,Real Bed,f,t,House,strict,f,1,1,0,3,Washington,1.5,11,29,59,149
1171,20009,120.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,1,2,Washington,2.0,0,0,0,10
1172,20009,116.0,1,1.0,0.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,5,1,Washington,1.0,0,0,0,81
1173,20009,125.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,2,2,10,3,Washington,2.0,7,26,56,144
1176,20036,175.0,4,1.0,1.0,2.0,Real Bed,f,f,Apartment,moderate,t,1,1,48,1,Washington,2.0,2,22,52,320
1177,20009,200.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,1,Washington,3.0,3,26,56,331
1178,20036,97.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,2,1,Washington,2.0,4,16,46,46
1179,20009,105.0,3,1.0,0.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,1,Washington,1.5,8,28,55,55
1182,20036,175.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,6,2,Washington,2.0,20,50,80,355
1184,20005,148.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,4,4,94,1,Washington,2.0,4,21,49,324
1187,20036,132.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,6,6,0,5,Washington,1.0,0,0,0,75
1188,20009,140.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,57,3,Washington,2.0,1,1,15,258
1189,20036,125.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,4,4,0,2,Washington,3.0,5,6,30,30
1190,20009,107.0,3,1.0,1.0,1.0,Real Bed,t,t,Apartment,moderate,f,2,2,17,2,Washington,3.0,1,1,1,179
1191,20009,199.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,16,2,Washington,3.0,0,3,7,134
1193,20009,159.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,4,4,0,1,Washington,2.0,15,45,75,350
1194,20009,129.0,3,1.0,0.0,2.0,Real Bed,f,t,Apartment,strict,f,29,32,26,4,Washington,1.5,8,27,57,332
1195,20036,168.0,3,1.0,1.0,1.0,Real Bed,t,t,Apartment,moderate,f,1,1,23,4,Washington,3.0,0,27,57,332
1196,20037,169.0,6,1.0,1.0,2.0,Real Bed,f,t,House,strict,f,2,2,119,1,Washington,3.0,7,7,7,250
1197,20009,100.0,3,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,4,1,Washington,3.0,4,16,27,163
1199,20009,120.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,moderate,f,2,3,13,6,Washington,2.0,1,1,1,50
1200,20009,90.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,2,3,5,Washington,2.0,4,4,29,304
1201,20009,200.0,6,1.0,2.0,2.0,Real Bed,f,t,Apartment,flexible,t,2,2,0,2,Washington,3.0,14,44,74,349
1202,20009,85.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,f,7,8,30,1,Washington,2.0,6,32,62,334
1203,20005,85.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,7,8,127,1,Washington,2.0,0,0,0,209
1204,20009,125.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,48,3,Washington,2.0,0,0,5,214
1205,20009,150.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,6,2,Washington,3.0,1,5,11,106
1208,20009,139.0,3,1.0,0.0,2.0,Real Bed,f,t,Apartment,strict,f,6,6,1,1,Washington,1.5,14,40,70,345
1209,20009,174.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,25,2,Washington,3.0,4,32,62,337
1210,20009,99.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,f,1,1,12,3,Washington,2.0,0,7,16,16
1211,20009,150.0,4,2.0,2.0,2.0,Real Bed,f,f,House,moderate,f,2,2,0,1,Washington,2.0,0,0,0,58
1212,20009,66.0,1,1.0,0.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,3,Washington,1.0,1,1,1,1
1213,20009,84.0,3,1.0,0.0,2.0,Real Bed,f,t,Townhouse,moderate,t,1,1,6,1,Washington,1.5,0,0,13,13
1214,20009,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,4,1,Washington,2.0,7,7,7,176
1215,20009,700.0,6,2.0,2.0,2.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Washington,3.0,1,1,1,1
1216,20036,110.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,2,28,1,Washington,2.0,1,10,10,192
1219,20037,109.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,strict,f,1,7,1,6,Washington,2.0,6,36,66,186
1220,20009,175.0,5,1.0,2.0,2.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Washington,2.5,0,0,0,0
1222,20009,150.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,9,1,Washington,3.0,3,12,36,283
1223,20009,299.0,4,1.5,2.0,2.0,Real Bed,f,t,Condominium,moderate,f,1,1,0,3,Washington,2.0,0,0,17,105
1225,20009,100.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,17,2,Washington,2.0,0,0,8,24
1227,20036,175.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,0,2,Washington,2.0,5,12,21,21
1228,20009,64.0,1,1.0,0.0,1.0,Real Bed,f,t,Other,flexible,f,1,1,0,4,Washington,1.0,1,31,61,336
1231,20009,200.0,4,2.0,2.0,2.0,Real Bed,f,f,House,flexible,f,3,3,0,1,Washington,2.0,2,2,2,211
1232,20009,140.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,0,1,Washington,4.0,3,8,8,8
1233,20009,145.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,strict,t,2,3,32,2,Washington,2.0,3,10,40,292
1236,20036,215.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,3,3,Washington,2.0,23,53,83,358
1237,20009,115.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,t,1,1,59,2,Washington,2.0,0,10,10,10
1238,20009,68.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,2,2,Washington,2.0,0,0,0,27
1239,20009,129.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,t,1,1,37,1,Washington,2.0,6,15,21,21
1242,20009,140.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,36,2,Washington,3.0,12,16,16,249
1243,20005,125.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,10,1,Washington,4.0,0,6,6,35
1244,20009,99.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,6,2,Washington,2.0,0,4,11,17
1245,20036,250.0,4,1.0,1.0,2.0,Real Bed,t,t,Apartment,moderate,f,1,1,21,1,Washington,2.0,0,0,0,91
1248,20009,196.0,4,1.0,1.0,1.0,Real Bed,t,t,Apartment,strict,f,2,3,19,1,Washington,4.0,11,33,63,338
1249,20009,83.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,t,12,12,64,3,Washington,2.0,13,39,69,155
1252,20009,125.0,3,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,1,2,Washington,3.0,10,26,48,323
1254,20036,695.0,6,2.5,3.0,3.0,Real Bed,f,t,House,strict,f,1,1,37,3,Washington,2.0,0,0,0,62
1255,20009,120.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,1,Washington,2.0,0,0,0,30
1256,20009,150.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,12,6,Washington,2.0,1,1,1,276
1257,20009,135.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,18,1,Washington,2.0,0,0,0,31
